TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1591682343.6091347,15,1023,1,1,0.0000,0,57136
1591682353.5665145,15,1023,2,1,0.1121,8434,66785
1591682367.3736267,15,1023,3,1,0.1847,15754,69548
1591682385.6836724,15,1023,4,1,0.2359,21630,70059
1591682409.1319475,15,1023,5,1,0.2728,26260,70011
1591682437.8860664,15,1023,6,1,0.3058,30687,69647
1591682472.9951954,15,1023,7,1,0.3267,33685,69436
1591682512.7878382,15,1023,8,1,0.3480,36844,69042
1591682560.2345588,15,1023,9,1,0.3671,39700,68450
1591682612.0322254,15,1023,10,1,0.3824,42146,68072
1591682616.034565,15,1023,1,2,0.0000,0,57123
1591682625.194036,15,1023,2,2,0.1088,8198,67130
1591682639.145765,15,1023,3,2,0.1802,15346,69820
1591682658.6446319,15,1023,4,2,0.2319,21251,70393
1591682682.890805,15,1023,5,2,0.2713,26137,70217
1591682711.1601956,15,1023,6,2,0.3017,30189,69866
1591682745.9272316,15,1023,7,2,0.3290,34102,69537
1591682786.366143,15,1023,8,2,0.3469,36700,69108
1591682834.046752,15,1023,9,2,0.3642,39379,68756
1591682888.1540802,15,1023,10,2,0.3807,41989,68304
1591682891.9718456,15,1023,1,3,0.0000,0,57208
1591682901.0346313,15,1023,2,3,0.1107,8342,67023
1591682915.431155,15,1023,3,3,0.1838,15674,69620
1591682934.4732416,15,1023,4,3,0.2358,21642,70136
1591682959.6589038,15,1023,5,3,0.2741,26504,70207
1591682989.4602253,15,1023,6,3,0.3046,30528,69698
1591683025.458943,15,1023,7,3,0.3281,33940,69504
1591683065.5677052,15,1023,8,3,0.3449,36453,69240
1591683110.7349727,15,1023,9,3,0.3656,39482,68503
1591683163.2960274,15,1023,10,3,0.3786,41670,68389
1591683167.3372562,15,1023,1,4,0.0000,0,57044
1591683176.3521538,15,1023,2,4,0.1127,8484,66770
1591683190.7107646,15,1023,3,4,0.1852,15804,69544
1591683210.2195702,15,1023,4,4,0.2351,21577,70198
1591683234.4228895,15,1023,5,4,0.2727,26302,70143
1591683263.8122797,15,1023,6,4,0.3019,30288,70051
1591683299.718278,15,1023,7,4,0.3263,33749,69695
1591683339.4610536,15,1023,8,4,0.3485,36920,69005
1591683384.7449636,15,1023,9,4,0.3637,39215,68615
1591683436.4840074,15,1023,10,4,0.3803,41845,68184
1591683440.463336,15,1023,1,5,0.0000,0,57121
1591683449.4503076,15,1023,2,5,0.1131,8518,66771
1591683464.2298272,15,1023,3,5,0.1868,15924,69306
1591683486.1592226,15,1023,4,5,0.2337,21457,70372
1591683511.1952646,15,1023,5,5,0.2750,26629,70204
1591683542.4297268,15,1023,6,5,0.3034,30402,69794
1591683578.9831252,15,1023,7,5,0.3277,33928,69606
1591683620.160063,15,1023,8,5,0.3491,37026,69049
1591683667.2983255,15,1023,9,5,0.3641,39369,68749
1591683721.9645715,15,1023,10,5,0.3810,42044,68307
