TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1594914470.6907423,3,1023,5,33,0.4865,25.06450944,100826,106422
1594914602.574502,3,1023,10,33,0.6572,20.64544768,168089,87659
1594914756.5188363,3,1023,20,33,0.8259,14.17877504,285507,60202
1594915013.986501,3,1023,50,33,0.9767,3.63454464,646631,15432
1594915243.8260627,3,1023,5,66,0.4843,25.14976768,100293,106784
1594915361.226332,3,1023,10,66,0.6567,20.67064832,167881,87766
1594915528.9942698,3,1023,20,66,0.8270,14.1100032,286296,59910
1594915786.1192582,3,1023,50,66,0.9766,3.64844032,647316,15491
1594916015.4210982,3,1023,5,99,0.4862,25.07369472,100760,106461
1594916142.8205755,3,1023,10,99,0.6562,20.6763008,167550,87790
1594916306.2519624,3,1023,20,99,0.8256,14.21339648,285686,60349
1594916556.3167312,3,1023,50,99,0.9765,3.66728192,647651,15571
1594916775.5231135,3,1023,5,132,0.4860,25.08688384,100728,106517
1594916903.1883144,3,1023,10,132,0.6567,20.65840128,167803,87714
1594917062.9731705,3,1023,20,132,0.8263,14.16228864,285990,60132
1594917322.6740723,3,1023,50,132,0.9767,3.6364288,647367,15440
1594917559.8000414,3,1023,5,165,0.4843,25.14034688,100232,106744
1594917688.4550877,3,1023,10,165,0.6568,20.66381824,167898,87737
1594917840.8055182,3,1023,20,165,0.8260,14.18254336,285944,60218
1594918088.278285,3,1023,50,165,0.9768,3.63077632,648097,15416
1594918323.5943706,3,1023,5,198,0.4858,25.09654016,100675,106558
1594918438.9845247,3,1023,10,198,0.6581,20.61247488,168481,87519
1594918597.6474066,3,1023,20,198,0.8260,14.18277888,285873,60219
1594918856.6404514,3,1023,50,198,0.9766,3.6434944,646467,15470
1594919096.2103183,3,1023,5,231,0.4858,25.09324288,100652,106544
1594919210.5480216,3,1023,10,231,0.6572,20.63908864,168014,87632
1594919370.1255844,3,1023,20,231,0.8256,14.20350464,285516,60307
1594919622.3206162,3,1023,50,231,0.9767,3.6411392,647200,15460
1594919845.3994205,3,1023,5,264,0.4867,25.0746368,100942,106465
1594919966.2290995,3,1023,10,264,0.6564,20.66970624,167652,87762
1594920131.148309,3,1023,20,264,0.8255,14.20727296,285359,60323
1594920397.787203,3,1023,50,264,0.9766,3.64844032,647259,15491
1594920626.4697587,3,1023,5,297,0.4850,25.10972928,100393,106614
1594920747.6667008,3,1023,10,297,0.6579,20.60423168,168259,87484
1594920910.9097252,3,1023,20,297,0.8255,14.20091392,285151,60296
1594921168.3403192,3,1023,50,297,0.9763,3.70049024,645857,15712
1594921387.410485,3,1023,5,330,0.4840,25.14128896,100119,106748
1594921514.5092843,3,1023,10,330,0.6567,20.66499584,167872,87742
1594921677.2816215,3,1023,20,330,0.8263,14.1582848,285877,60115
1594921944.2779608,3,1023,50,330,0.9768,3.62371072,647646,15386
1594922173.5400908,7,1023,5,33,0.3733,27.30194944,69043,115922
1594922290.1132538,7,1023,10,33,0.5241,24.2726912,113493,103060
1594922447.7468233,7,1023,20,33,0.6834,19.88236288,182225,84419
1594922684.0159113,7,1023,50,33,0.8864,10.99454464,364398,46682
1594922903.8596158,7,1023,5,66,0.3724,27.32715008,68834,116029
1594923029.2848704,7,1023,10,66,0.5225,24.3197952,112977,103260
1594923178.428101,7,1023,20,66,0.6841,19.83031296,182356,84198
1594923417.9732857,7,1023,50,66,0.8872,10.93542912,365237,46431
1594923643.022293,7,1023,5,99,0.3727,27.32243968,68919,116009
1594923754.1086094,7,1023,10,99,0.5258,24.21946368,114023,102834
1594923915.820469,7,1023,20,99,0.6848,19.80275712,182707,84081
1594924157.5083828,7,1023,50,99,0.8873,10.9198848,365180,46365
1594924382.3855698,7,1023,5,132,0.3726,27.3179648,68893,115990
1594924491.834412,7,1023,10,132,0.5247,24.25172992,113670,102971
1594924648.0230832,7,1023,20,132,0.6846,19.82583808,182737,84179
1594924898.702731,7,1023,50,132,0.8869,10.95144448,364633,46499
1594925134.3273385,7,1023,5,165,0.3722,27.32432384,68776,116017
1594925248.669785,7,1023,10,165,0.5249,24.22511616,113639,102858
1594925398.810743,7,1023,20,165,0.6839,19.84444416,182326,84258
1594925639.832767,7,1023,50,165,0.8868,10.9658112,364838,46560
1594925857.7285924,7,1023,5,198,0.3741,27.27533568,69231,115809
1594925980.7992666,7,1023,10,198,0.5247,24.25761792,113686,102996
1594926133.5357063,7,1023,20,198,0.6845,19.82984192,182675,84196
1594926378.1102743,7,1023,50,198,0.8873,10.92388864,365172,46382
1594926608.8871868,7,1023,5,231,0.3738,27.29276416,69166,115883
