N_OF_STATIONS,CW_MIN,TIMESTAMP,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,THR_STD
5,3,1594917934.434541,1023.0,181.5,0.48546000000000006,25.103064064,100562.0,106585.7,0.03097444692260906
5,7,1594925493.638896,1023.0,181.5,0.37324999999999997,27.303692288,69035.4,115929.4,0.01929706003542046
5,15,1594967988.2495337,1023.0,181.5,0.27005,28.696392703999997,45078.8,121842.7,0.037547704134999846
5,31,1594983883.362217,1023.0,181.5,0.17743000000000003,29.125251071999998,26677.3,123663.6,0.023947029972573485
5,63,1594990762.7871423,1023.0,181.5,0.10486,28.090800128,13972.3,119271.4,0.01991539442923956
5,127,1594997235.7274346,1023.0,181.5,0.05712999999999999,25.131821055999996,6464.2,106707.8,0.03349849200894446
5,255,1595003308.4247246,1023.0,181.5,0.02976,20.332653568,2649.9,86330.9,0.02171399883409449
5,511,1595008853.362644,1023.0,181.5,0.015279999999999998,14.592301056,961.1,61957.8,0.0260558884054461
5,1023,1595013704.0430868,1023.0,181.5,0.00779,9.348259839999999,311.9,39692.0,0.01192474661025332
10,3,1594918057.6202443,1023.0,181.5,0.65699,20.650511360000003,167949.9,87680.5,0.02501746462110498
10,7,1594925610.1322346,1023.0,181.5,0.5244,24.258041856,113560.2,102997.8,0.027366482624466556
10,15,1594968104.4582276,1023.0,181.5,0.40291,26.745745407999998,76631.5,113560.4,0.028860827476676388
10,31,1594984001.5018744,1023.0,181.5,0.29118999999999995,28.325990400000002,49408.7,120270.0,0.02643262457201318
10,63,1594990876.7728686,1023.0,181.5,0.19285,28.859348992,29277.0,122534.6,0.02603894653222436
10,127,1594997347.1297994,1023.0,181.5,0.11537,27.905987584000002,15452.2,118486.7,0.023240903887285325
10,255,1595003413.387935,1023.0,181.5,0.06377999999999999,25.018842111999998,7234.4,106228.1,0.03501088397731172
10,511,1595008945.8984575,1023.0,181.5,0.03306,20.28310016,2946.0,86120.5,0.02317802140338154
10,1023,1595013778.8061607,1023.0,181.5,0.017109999999999997,14.712439808,1087.6,62467.9,0.024205134420723085
20,3,1594918218.2656407,1023.0,181.5,0.8259699999999999,14.179976192000002,285719.9,60207.1,0.03082113142727147
20,7,1594925763.9599159,1023.0,181.5,0.68411,19.842183168,182466.5,84248.4,0.02200154060536149
20,15,1594968253.588613,1023.0,181.5,0.5455699999999999,23.766417408,121145.9,100910.4,0.03094322116366053
20,31,1594984154.1939585,1023.0,181.5,0.41767000000000004,26.454053887999997,80565.2,112321.9,0.02801983110611572
20,63,1594991023.1354373,1023.0,181.5,0.30241,28.12308992,51765.4,119408.5,0.01832395044405657
20,127,1594997488.6001556,1023.0,181.5,0.20095999999999997,28.743002112,30694.7,122040.6,0.017705020080356158
20,255,1595003551.974935,1023.0,181.5,0.12117999999999998,27.828265984,16292.3,118156.7,0.026268675568167803
20,511,1595009077.3176773,1023.0,181.5,0.06695,25.0187008,7621.8,106227.5,0.025390626570264314
20,1023,1595013892.0548046,1023.0,181.5,0.036320000000000005,20.539675648000003,3286.9,87209.9,0.02212703123115073
50,3,1594918475.6741397,1023.0,181.5,0.9766300000000001,3.647474688,647149.1,15486.9,0.022094696790571935
50,7,1594926006.9110978,1023.0,181.5,0.8868599999999999,10.960935936,364831.5,46539.3,0.027320782463518954
50,15,1594972884.41568,1023.0,181.5,0.7476800000000001,17.637645312,221927.1,74888.1,0.024592882165951794
50,31,1594984385.2076766,1023.0,181.5,0.60256,22.321879040000002,143692.0,94777.0,0.01839302466895793
50,63,1594991240.4496999,1023.0,181.5,0.46793000000000007,25.486467072000003,95171.4,108213.6,0.027094514879936263
50,127,1594997701.3200722,1023.0,181.5,0.35303999999999996,27.453247488000006,63614.4,116564.4,0.029030317445777987
50,255,1595003762.0390034,1023.0,181.5,0.24434999999999998,28.552301568,39200.5,121230.9,0.027026471593498448
50,511,1595009281.8570268,1023.0,181.5,0.15323000000000003,28.323305471999998,21765.1,120258.6,0.016489838981005665
50,1023,1595014087.6256375,1023.0,181.5,0.09096000000000001,26.525934592,11271.5,112627.1,0.013464957594477429
