N_OF_STATIONS,TIMESTAMP,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,THR_STD
1,1596797014.3831124,15.0,1023.0,181.5,0.0,29.038885888000003,0.0,123296.9,0.008831528947438315
2,1596797123.6154535,15.0,1023.0,181.5,0.11099999999999999,29.660705791999998,15723.8,125937.1,0.023794242640809482
3,1596797190.0509636,15.0,1023.0,181.5,0.17749,29.505144831999996,27034.0,125276.6,0.020863639635442674
4,1596797237.741615,15.0,1023.0,181.5,0.22651000000000004,29.143291904,36235.5,123740.2,0.016951187390467814
5,1596797283.7024624,15.0,1023.0,181.5,0.26451,28.75239936,43906.3,122080.5,0.015270807968471913
6,1596797325.1531754,15.0,1023.0,181.5,0.29453,28.400579584000003,50344.8,120586.7,0.012216833038309005
7,1596797356.3366501,15.0,1023.0,181.5,0.32042000000000004,28.042494976,56139.1,119066.3,0.01518451666311302
8,1596797381.059266,15.0,1023.0,181.5,0.34130000000000005,27.742937087999998,61034.3,117794.4,0.01882039126336723
9,1596797395.752033,15.0,1023.0,181.5,0.35957,27.471147007999996,65490.8,116640.4,0.015595068244131784
10,1596797402.728089,15.0,1023.0,181.5,0.37601,27.195941888000004,69580.8,115471.9,0.037181415417599846
