TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1596794347.4942575,15,1023,1,33,0.0000,29.033728,0,123275
1596794441.521926,15,1023,2,33,0.1123,29.62087936,15914,125768
1596794484.86043,15,1023,3,33,0.1777,29.5118336,27073,125305
1596794580.791865,15,1023,4,33,0.2277,29.11592448,36452,123624
1596794631.3921003,15,1023,6,33,0.2944,28.40865792,50332,120621
1596794637.7974021,15,1023,5,33,0.2645,28.7463936,43901,122055
1596794651.9488888,15,1023,7,33,0.3210,28.03606528,56268,119039
1596794712.7529354,15,1023,8,33,0.3411,27.74614016,60979,117808
1596794724.970983,15,1023,9,33,0.3598,27.45715712,65507,116581
1596794727.5006013,15,1023,10,33,0.3761,27.20279552,69615,115501
1596794956.0405493,15,1023,1,66,0.0000,29.02736896,0,123248
1596794998.825351,15,1023,2,66,0.1100,29.67528448,15566,125999
1596795068.920421,15,1023,3,66,0.1767,29.52196096,26906,125348
1596795153.834745,15,1023,4,66,0.2270,29.14159616,36327,123733
1596795203.4590354,15,1023,5,66,0.2651,28.74686464,44036,122057
1596795243.236436,15,1023,6,66,0.2939,28.42161152,50226,120676
1596795269.4178534,15,1023,7,66,0.3197,28.0539648,55981,119115
1596795287.528055,15,1023,8,66,0.3400,27.7666304,60727,117895
1596795310.290277,15,1023,9,66,0.3600,27.473408,65622,116650
1596795317.7953937,15,1023,10,66,0.3744,27.24071424,69230,115662
1596795505.4807584,15,1023,1,99,0.0000,29.04244224,0,123312
1596795641.253083,15,1023,2,99,0.1102,29.67599104,15604,126002
1596795697.775942,15,1023,3,99,0.1785,29.49228544,27202,125222
1596795753.8007238,15,1023,4,99,0.2251,29.16491264,35968,123832
1596795780.5575893,15,1023,5,99,0.2649,28.72967168,43964,121984
1596795838.4847898,15,1023,6,99,0.2943,28.4107776,50307,120630
1596795858.3851323,15,1023,7,99,0.3202,28.05349376,56112,119113
1596795892.7274084,15,1023,8,99,0.3422,27.71693568,61215,117684
1596795904.195307,15,1023,9,99,0.3605,27.44726528,65708,116539
1596795910.412733,15,1023,10,99,0.3757,27.20774144,69532,115522
1596796096.0129414,15,1023,1,132,0.0000,29.0584576,0,123380
1596796266.1971805,15,1023,2,132,0.1135,29.61452032,16092,125741
1596796322.7573934,15,1023,4,132,0.2253,29.15808256,36004,123803
1596796334.550097,15,1023,3,132,0.1784,29.48427776,27178,125188
1596796377.6524937,15,1023,5,132,0.2646,28.7522816,43936,122080
1596796492.9707546,15,1023,6,132,0.2948,28.39947264,50408,120582
1596796501.5037131,15,1023,8,132,0.3412,27.74684672,61011,117811
1596796510.3463728,15,1023,7,132,0.3203,28.05891072,56130,119136
1596796528.2258987,15,1023,9,132,0.3594,27.47741184,65468,116667
1596796549.861024,15,1023,10,132,0.3748,27.22799616,69296,115608
1596796784.8294442,15,1023,1,165,0.0000,29.03631872,0,123286
1596796869.2257898,15,1023,2,165,0.1106,29.66986752,15662,125976
1596796951.431036,15,1023,3,165,0.1779,29.50170624,27106,125262
1596797019.8419719,15,1023,4,165,0.2258,29.16491264,36117,123832
1596797055.0388856,15,1023,5,165,0.2630,28.77842432,43603,122191
1596797059.3909862,15,1023,6,165,0.2946,28.41124864,50383,120632
1596797114.626994,15,1023,7,165,0.3205,28.02758656,56131,119003
1596797155.9394963,15,1023,8,165,0.3407,27.75532544,60912,117847
1596797156.3205047,15,1023,9,165,0.3597,27.46822656,65529,116628
1596797159.211786,15,1023,10,165,0.3757,27.20467968,69499,115509
1596797327.5128345,15,1023,1,198,0.0000,29.04338432,0,123316
1596797475.2284636,15,1023,2,198,0.1102,29.67928832,15608,126016
1596797538.460598,15,1023,4,198,0.2271,29.13453056,36343,123703
1596797543.5138357,15,1023,3,198,0.1773,29.50971392,27011,125296
1596797583.3197722,15,1023,5,198,0.2639,28.76452864,43777,122132
1596797664.6903703,15,1023,6,198,0.2945,28.397824,50325,120575
1596797683.4712925,15,1023,8,198,0.3407,27.76380416,60930,117883
1596797704.8944576,15,1023,7,198,0.3215,28.02405376,56372,118988
1596797713.3804884,15,1023,9,198,0.3585,27.49790208,65234,116754
1596797723.4544837,15,1023,10,198,0.3775,27.15569152,69911,115301
1596797939.8339102,15,1023,1,231,0.0000,29.03396352,0,123276
1596797982.198854,15,1023,2,231,0.1107,29.67269376,15686,125988
1596798065.6630282,15,1023,3,231,0.1756,29.54080256,26712,125428
1596798135.7968585,15,1023,4,231,0.2274,29.12157696,36386,123648
1596798176.8790538,15,1023,6,231,0.2942,28.39358464,50261,120557
1596798199.3191476,15,1023,5,231,0.2649,28.751104,43982,122075
1596798245.49542,15,1023,7,231,0.3214,28.02476032,56368,118991
1596798274.5843928,15,1023,8,231,0.3420,27.71858432,61184,117691
1596798283.7471986,15,1023,10,231,0.3775,27.15051008,69920,115279
1596798285.9362223,15,1023,9,231,0.3600,27.47976704,65644,116677
1596798468.1406825,15,1023,1,264,0.0000,29.03302144,0,123272
1596798616.6919947,15,1023,2,264,0.1112,29.66539264,15764,125957
1596798671.0016227,15,1023,4,264,0.2271,29.1373568,36353,123715
1596798687.4199524,15,1023,3,264,0.1779,29.49157888,27104,125219
1596798736.0861688,15,1023,5,264,0.2646,28.75958272,43942,122111
1596798808.6691117,15,1023,6,264,0.2947,28.38981632,50362,120541
1596798832.133404,15,1023,7,264,0.3209,28.03371008,56253,119029
1596798834.731553,15,1023,8,264,0.3418,27.73224448,61143,117749
1596798850.1595826,15,1023,9,264,0.3595,27.461632,65445,116600
1596798864.7664018,15,1023,10,264,0.3774,27.16205056,69916,115328
1596799045.8085034,15,1023,1,297,0.0000,29.045504,0,123325
1596799193.4219058,15,1023,2,297,0.1101,29.67811072,15584,126011
1596799258.1974423,15,1023,3,297,0.1786,29.47203072,27210,125136
1596799306.0508287,15,1023,4,297,0.2255,29.15290112,36040,123781
1596799322.2941139,15,1023,5,297,0.2639,28.76476416,43778,122133
1596799382.6694272,15,1023,6,297,0.2953,28.38180864,50494,120507
1596799417.7515428,15,1023,7,297,0.3198,28.04666368,55990,119084
1596799442.8435767,15,1023,8,297,0.3426,27.72376576,61341,117713
1596799450.9068787,15,1023,9,297,0.3582,27.48965888,65129,116719
1596799457.6683884,15,1023,10,297,0.3735,27.24942848,68972,115699
1596799672.6772416,15,1023,1,330,0.0000,29.03467008,0,123279
1596799751.5899875,15,1023,2,330,0.1112,29.65502976,15758,125913
1596799808.1774492,15,1023,3,330,0.1763,29.52525824,26838,125362
1596799895.0795438,15,1023,4,330,0.2271,29.14112512,36365,123731
1596799941.5000145,15,1023,5,330,0.2657,28.73037824,44144,121987
1596799953.1487234,15,1023,6,330,0.2946,28.39099392,50350,120546
1596799958.366435,15,1023,7,330,0.3189,28.0657408,55786,119165
1596800024.5102384,15,1023,8,330,0.3407,27.75909376,60901,117863
1596800032.8628824,15,1023,10,330,0.3775,27.1578112,69917,115310
1596800033.1341894,15,1023,9,330,0.3601,27.45904128,65622,116589
