TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
2020-11-14 10:15:10.023606,15,1023,1,1,0.0000,29.5642368,0,251055
2020-11-14 10:18:06.329050,15,1023,2,1,0.1094,30.24112128,31538,256803
2020-11-14 10:20:24.622957,15,1023,3,1,0.1769,30.0664832,54863,255320
2020-11-14 10:22:06.407892,15,1023,4,1,0.2266,29.6802304,73846,252040
2020-11-14 10:23:40.916223,15,1023,5,1,0.2634,29.31305472,89032,248922
2020-11-14 10:25:13.025059,15,1023,6,1,0.2945,28.92091392,102523,245592
2020-11-14 10:26:16.856079,15,1023,7,1,0.3192,28.59259904,113845,242804
2020-11-14 10:27:01.305589,15,1023,8,1,0.3418,28.24638464,124540,239864
2020-11-14 10:27:27.249230,15,1023,9,1,0.3599,27.96482048,133524,237473
2020-11-14 10:27:44.879774,15,1023,10,1,0.3762,27.68078336,141776,235061
2020-11-14 10:35:41.393360,15,1023,1,2,0.0000,29.55269632,0,250957
2020-11-14 10:39:01.862978,15,1023,2,2,0.1117,30.18518528,32240,256328
2020-11-14 10:41:15.818120,15,1023,3,2,0.1767,30.07449088,54801,255388
2020-11-14 10:43:12.641072,15,1023,4,2,0.2282,29.65361664,74440,251814
2020-11-14 10:44:52.121802,15,1023,5,2,0.2655,29.27666688,89860,248613
2020-11-14 10:46:02.606071,15,1023,6,2,0.2951,28.9153792,102772,245545
2020-11-14 10:47:04.049146,15,1023,7,2,0.3198,28.57493504,114088,242654
2020-11-14 10:47:48.054129,15,1023,8,2,0.3403,28.27841536,123861,240136
2020-11-14 10:48:13.930988,15,1023,9,2,0.3607,27.96199424,133960,237449
2020-11-14 10:48:29.902898,15,1023,10,2,0.3764,27.68761344,141923,235119
2020-11-14 10:55:45.120333,15,1023,1,3,0.0000,29.54669056,0,250906
2020-11-14 10:58:59.958246,15,1023,2,3,0.1106,30.22039552,31916,256627
2020-11-14 11:01:18.876273,15,1023,3,3,0.1770,30.07378432,54916,255382
2020-11-14 11:02:56.090977,15,1023,4,3,0.2257,29.70272256,73504,252231
2020-11-14 11:04:26.765912,15,1023,5,3,0.2657,29.2668928,89912,248530
2020-11-14 11:05:45.153380,15,1023,6,3,0.2947,28.92197376,102645,245601
2020-11-14 11:35:15.747849,15,1023,7,3,0.3186,28.61108736,113582,242961
2020-11-14 11:36:07.524546,15,1023,8,3,0.3405,28.28383232,124023,240182
2020-11-14 11:36:41.192153,15,1023,9,3,0.3608,27.94456576,133931,237301
2020-11-14 11:37:02.824822,15,1023,10,3,0.3747,27.72812288,141119,235463
2020-11-14 11:44:24.196233,15,1023,1,4,0.0000,29.55045888,0,250938
2020-11-14 11:47:40.494299,15,1023,2,4,0.1105,30.22227968,31892,256643
2020-11-14 11:49:55.302829,15,1023,3,4,0.1764,30.07307776,54704,255376
2020-11-14 11:51:41.843969,15,1023,4,4,0.2259,29.70590208,73608,252258
2020-11-14 11:53:17.391639,15,1023,5,4,0.2636,29.3081088,89073,248880
2020-11-14 11:54:28.987794,15,1023,6,4,0.2944,28.93469184,102515,245709
2020-11-14 11:55:32.649526,15,1023,7,4,0.3210,28.56221696,114651,242546
2020-11-14 11:56:13.436364,15,1023,8,4,0.3404,28.26616832,123893,240032
2020-11-14 11:56:45.811818,15,1023,9,4,0.3591,27.98790144,133180,237669
2020-11-14 11:57:00.837408,15,1023,10,4,0.3752,27.72141056,141368,235406
2020-11-14 12:03:59.901515,15,1023,1,5,0.0000,29.55516928,0,250978
2020-11-14 12:55:18.242561,15,1023,2,5,0.1126,30.16975872,32512,256197
2020-11-14 12:57:42.830270,15,1023,3,5,0.1768,30.06424576,54813,255301
2020-11-14 12:59:38.122255,15,1023,4,5,0.2267,29.68600064,73905,252089
2020-11-14 13:01:32.426113,15,1023,5,5,0.2655,29.27478272,89878,248597
2020-11-14 13:02:40.314707,15,1023,6,5,0.2942,28.93916672,102443,245747
2020-11-14 13:03:45.967727,15,1023,7,5,0.3194,28.58011648,113917,242698
2020-11-14 13:04:26.966106,15,1023,8,5,0.3417,28.25109504,124512,239904
2020-11-14 13:04:57.595807,15,1023,9,5,0.3592,27.97647872,133158,237572
2020-11-14 13:05:11.047762,15,1023,10,5,0.3753,27.71976192,141440,235392
2020-11-14 13:12:15.162367,15,1023,1,6,0.0000,29.55564032,0,250982
2020-11-14 13:15:22.922329,15,1023,2,6,0.1101,30.23417344,31750,256744
2020-11-14 13:17:19.971017,15,1023,3,6,0.1778,30.05093888,55181,255188
2020-11-14 13:19:08.050247,15,1023,4,6,0.2265,29.6802304,73808,252040
2020-11-14 13:20:44.339857,15,1023,5,6,0.2646,29.29645056,89515,248781
2020-11-14 13:22:04.153758,15,1023,6,6,0.2944,28.93822464,102527,245739
2020-11-14 13:22:58.108108,15,1023,7,6,0.3201,28.57776128,114231,242678
2020-11-14 13:23:45.565089,15,1023,8,6,0.3398,28.29148672,123658,240247
2020-11-14 13:24:11.310753,15,1023,9,6,0.3595,27.97247488,133338,237538
2020-11-14 13:24:27.794921,15,1023,10,6,0.3771,27.6771328,142256,235030
2020-11-14 14:16:40.648676,15,1023,1,7,0.0000,29.5483392,0,250920
2020-11-14 14:19:48.978234,15,1023,2,7,0.1107,30.21756928,31954,256603
2020-11-14 14:22:16.078689,15,1023,3,7,0.1761,30.07873024,54589,255424
2020-11-14 14:23:47.822747,15,1023,4,7,0.2276,29.65585408,74223,251833
2020-11-14 14:25:36.903033,15,1023,5,7,0.2646,29.29303552,89497,248752
2020-11-14 14:26:51.421751,15,1023,6,7,0.2951,28.92503552,102853,245627
2020-11-14 14:27:53.566480,15,1023,7,7,0.3188,28.60072448,113665,242873
2020-11-14 14:28:38.914591,15,1023,8,7,0.3421,28.25933824,124809,239974
2020-11-14 14:29:03.492935,15,1023,9,7,0.3602,27.96576256,133701,237481
2020-11-14 14:29:20.319572,15,1023,10,7,0.3759,27.70527744,141675,235269
2020-11-14 14:36:24.092620,15,1023,1,8,0.0000,29.54692608,0,250908
2020-11-14 14:39:28.763290,15,1023,2,8,0.1099,30.22816768,31694,256693
2020-11-14 14:41:41.906705,15,1023,3,8,0.1771,30.05788672,54916,255247
2020-11-14 14:43:30.749537,15,1023,4,8,0.2284,29.64890624,74528,251774
2020-11-14 14:45:04.325948,15,1023,5,8,0.2636,29.30716672,89086,248872
2020-11-14 14:46:15.458533,15,1023,6,8,0.2947,28.91679232,102582,245557
2020-11-14 14:47:14.181439,15,1023,7,8,0.3200,28.56951808,114175,242608
2020-11-14 14:48:02.282829,15,1023,8,8,0.3417,28.24096768,124507,239818
2020-11-14 14:48:28.355068,15,1023,9,8,0.3589,27.99932416,133107,237766
2020-11-14 14:48:43.523304,15,1023,10,8,0.3756,27.7083392,141528,235295
2020-11-14 15:02:56.660484,15,1023,1,9,0.0000,29.55799552,0,251002
2020-11-14 15:06:07.723437,15,1023,2,9,0.1110,30.21050368,32040,256543
2020-11-14 15:08:22.541850,15,1023,3,9,0.1755,30.10157568,54415,255618
2020-11-14 15:10:09.127141,15,1023,4,9,0.2255,29.70684416,73438,252266
2020-11-14 15:11:48.796054,15,1023,5,9,0.2632,29.31246592,88935,248917
2020-11-14 15:12:57.360399,15,1023,6,9,0.2953,28.91502592,102875,245542
2020-11-14 15:13:56.798045,15,1023,7,9,0.3193,28.56998912,113817,242612
2020-11-14 15:14:41.394449,15,1023,8,9,0.3419,28.25604096,124642,239946
2020-11-14 15:15:08.604586,15,1023,9,9,0.3595,27.97165056,133333,237531
2020-11-14 15:20:33.172910,15,1023,10,9,0.3757,27.71634688,141610,235363
2020-11-14 15:27:34.538027,15,1023,1,10,0.0000,29.56082176,0,251026
2020-11-14 15:30:44.067440,15,1023,2,10,0.1112,30.20791296,32084,256521
2020-11-14 15:32:55.658536,15,1023,3,10,0.1766,30.06318592,54755,255292
2020-11-14 15:34:39.321682,15,1023,4,10,0.2255,29.7090816,73459,252285
2020-11-14 15:36:12.396582,15,1023,5,10,0.2646,29.27289856,89445,248581
2020-11-14 15:54:13.103496,15,1023,6,10,0.2951,28.90784256,102791,245481
2020-11-14 15:55:18.444344,15,1023,7,10,0.3207,28.5726976,114542,242635
2020-11-14 15:55:57.477613,15,1023,8,10,0.3413,28.2641664,124385,240015
2020-11-14 15:56:24.753246,15,1023,9,10,0.3592,27.96929536,133129,237511
2020-11-14 15:56:42.259439,15,1023,10,10,0.3775,27.66688768,142457,234943
