N_OF_STATIONS,CW_MIN,TIMESTAMP,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,THR_STD
5,3,1598744376.268034,1023.0,181.5,0.42725,26.283878912,166500.0,223198.7,0.012565733266482302
5,7,1598758531.6541305,1023.0,181.5,0.34750000000000003,27.725367296,125387.6,235439.6,0.01616238542063234
5,15,1598772393.8990865,1023.0,181.5,0.26429,28.760619008,87743.8,244230.8,0.015762821044536093
5,31,1598785973.2535152,1023.0,181.5,0.17719999999999997,29.119127552,53260.8,247275.2,0.014047736451651157
5,63,1598799132.59121,1023.0,181.5,0.10498,28.082038783999998,27976.0,238468.4,0.01601345494551844
5,127,1598831123.9148974,1023.0,181.5,0.05758,25.124413952,13036.8,213352.7,0.020488739745843452
5,255,1598888160.3195748,1023.0,181.5,0.029720000000000003,20.32726016,5287.8,172616.0,0.013704979652341376
5,511,1598933926.3328109,1023.0,181.5,0.015349999999999999,14.588650496,1930.6,123884.6,0.015377109437454404
5,1023,1598952085.6866026,1023.0,181.5,0.0075899999999999995,9.350344192,608.0,79401.7,0.01370116218827589
10,3,1598744589.324536,1023.0,181.5,0.51769,24.387636736,222289.7,207096.1,0.025797501506137792
10,7,1598758743.4467394,1023.0,181.5,0.44924,25.891137535999995,179354.3,219863.6,0.019948279837683686
10,15,1598772595.9247508,1023.0,181.5,0.37457,27.224168959999997,138450.9,231183.5,0.015411745490530572
10,31,1598786178.6066012,1023.0,181.5,0.28554,28.386413056000002,96347.5,241053.1,0.014597221675316583
10,63,1598799337.1965532,1023.0,181.5,0.19241,28.862540288,58400.4,245096.3,0.016157317626231592
10,127,1598831329.888861,1023.0,181.5,0.11495,27.914631168,30788.8,237046.8,0.01719580966338263
10,255,1598888363.996929,1023.0,181.5,0.06356,25.021267967999997,14418.6,212476.8,0.026078090185429757
10,511,1598938481.3383036,1023.0,181.5,0.033530000000000004,20.280780288000003,5975.2,172221.3,0.012947538104840074
10,1023,1598952237.7243924,1023.0,181.5,0.017249999999999998,14.704290815999997,2192.0,124866.6,0.02014114505698845
20,3,1598744895.2215822,1023.0,181.5,0.6069199999999999,22.131048960000005,290201.0,187933.5,0.02456037183093106
20,7,1598759041.8604248,1023.0,181.5,0.5416799999999999,23.849508863999997,239363.2,202526.4,0.021596911465142574
20,15,1598772898.0000865,1023.0,181.5,0.47465,25.36144128,194577.6,215365.5,0.016196959434428927
20,31,1598786470.16225,1023.0,181.5,0.39368,26.870382592,148152.3,228179.2,0.017292490089631855
20,63,1598799624.1146953,1023.0,181.5,0.29899,28.159089152,101985.9,239122.7,0.02244179014318812
20,127,1598831606.6351082,1023.0,181.5,0.20068999999999998,28.740964864,61282.3,244063.9,0.020211194080528357
20,255,1598888639.8284845,1023.0,181.5,0.12088000000000002,27.837039103999995,32499.3,236387.9,0.019117820090360223
20,511,1598938739.1306617,1023.0,181.5,0.06725,25.012812799999995,15311.0,212405.0,0.013452043453935329
20,1023,1598952461.394218,1023.0,181.5,0.03658,20.534199808,6618.8,174373.3,0.013792065187120995
50,3,1598745341.22891,1023.0,181.5,0.7267300000000001,18.359384576000004,414598.5,155905.1,0.02227455985942892
50,7,1598759475.4928653,1023.0,181.5,0.6611,20.590783488000003,341095.3,174853.8,0.00826724032239291
50,15,1598773328.4037278,1023.0,181.5,0.6000099999999999,22.382337024,285108.0,190067.4,0.018451588729738826
50,31,1598786892.2107153,1023.0,181.5,0.5319,24.100255232,232544.4,204655.7,0.016223175198986348
50,63,1598800042.7457283,1023.0,181.5,0.44907,25.858989055999995,179003.5,219590.6,0.020243397269310005
50,127,1598832014.0642333,1023.0,181.5,0.35017,27.48936448,125788.5,233435.5,0.012319075668641816
50,255,1598889043.663025,1023.0,181.5,0.24478000000000005,28.533118464,78537.1,242298.9,0.025542518312507048
50,511,1598939130.3097262,1023.0,181.5,0.15267000000000003,28.333656576000003,43353.9,240605.1,0.017567123166978112
50,1023,1598952838.596996,1023.0,181.5,0.09136999999999998,26.523779584,22644.2,225235.9,0.023534293361760432
