TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1598737846.9445288,3,1023,5,33,0.4280,26.2622464,166896,223015
1598738065.1434393,3,1023,10,33,0.5172,24.40128512,221976,207212
1598738447.793947,3,1023,20,33,0.6070,22.11721216,290121,187816
1598738909.117228,3,1023,50,33,0.7271,18.33852928,415017,155728
1598739400.3448665,3,1023,5,66,0.4265,26.29180416,166021,223266
1598739617.2246206,3,1023,10,66,0.5185,24.36619264,222807,206914
1598739916.2109947,3,1023,20,66,0.6063,22.15583744,289768,188144
1598740355.1989882,3,1023,50,66,0.7275,18.33193472,415536,155672
1598740830.9736474,3,1023,5,99,0.4284,26.26601472,167170,223047
1598741048.1280375,3,1023,10,99,0.5179,24.38939136,222460,207111
1598741332.5690198,3,1023,20,99,0.6069,22.14099968,290338,188018
1598741769.357891,3,1023,50,99,0.7266,18.35866624,414257,155899
1598742245.7903686,3,1023,5,132,0.4273,26.28509184,166519,223209
1598742440.576024,3,1023,10,132,0.5163,24.41953792,221353,207367
1598742742.503328,3,1023,20,132,0.6064,22.15289344,289856,188119
1598743197.9154282,3,1023,50,132,0.7269,18.35207168,414815,155843
1598743668.2124343,3,1023,5,165,0.4267,26.2946304,166211,223290
1598743893.733484,3,1023,10,165,0.5178,24.38373888,222352,207063
1598744186.4399848,3,1023,20,165,0.6086,22.08671232,291690,187557
1598744629.330633,3,1023,50,165,0.7263,18.38186496,414147,156096
1598745104.469999,3,1023,5,198,0.4273,26.28909568,166581,223243
1598745304.8402846,3,1023,10,198,0.5176,24.39033344,222222,207119
1598745619.0043054,3,1023,20,198,0.6074,22.11497472,290537,187797
1598746054.4916172,3,1023,50,198,0.7266,18.38045184,414786,156084
1598746522.3498416,3,1023,5,231,0.4273,26.28603392,166530,223217
1598746741.996246,3,1023,10,231,0.5196,24.32615424,223461,206574
1598747040.7675147,3,1023,20,231,0.6059,22.16926208,289478,188258
1598747480.4885685,3,1023,50,231,0.7258,18.39564288,413485,156213
1598747937.6070454,3,1023,5,264,0.4267,26.30358016,166254,223366
1598748163.4572957,3,1023,10,264,0.5177,24.39363072,222363,207147
1598748462.5510292,3,1023,20,264,0.6071,22.11638784,290222,187809
1598748910.773287,3,1023,50,264,0.7266,18.36161024,414418,155924
1598749377.7201245,3,1023,5,297,0.4272,26.27837952,166448,223152
1598749598.6846046,3,1023,10,297,0.5169,24.40093184,221692,207209
1598749884.4195392,3,1023,20,297,0.6072,22.1200384,290372,187840
1598750341.1181736,3,1023,50,297,0.7264,18.36420096,414021,155946
1598750828.2674813,3,1023,5,330,0.4271,26.28191232,166370,223182
1598751019.461322,3,1023,10,330,0.5174,24.4051712,222211,207245
1598751319.9561598,3,1023,20,330,0.6064,22.13617152,289628,187977
1598751764.4972844,3,1023,50,330,0.7275,18.32887296,415503,155646
1598752221.899977,7,1023,5,33,0.3484,27.70586624,125787,235274
1598752443.2035336,7,1023,10,33,0.4485,25.90943744,178914,220019
1598752718.9559083,7,1023,20,33,0.5420,23.83297536,239509,202386
1598753170.086427,7,1023,50,33,0.6615,20.57490944,341475,174719
1598753617.7647355,7,1023,5,66,0.3463,27.75085056,124842,235656
1598753847.063086,7,1023,10,66,0.4496,25.88882944,179587,219844
1598754139.331105,7,1023,20,66,0.5411,23.87077632,238979,202707
1598754578.8218632,7,1023,50,66,0.6611,20.59363328,341082,174878
1598755044.3696206,7,1023,5,99,0.3478,27.71670016,125517,235366
1598755240.099515,7,1023,10,99,0.4486,25.904256,178985,219975
1598755550.2183084,7,1023,20,99,0.5423,23.8340352,239849,202395
1598755968.8776193,7,1023,50,99,0.6608,20.59575296,340741,174896
1598756444.2418551,7,1023,5,132,0.3469,27.7377792,125114,235545
1598756636.7136357,7,1023,10,132,0.4492,25.8942464,179336,219890
1598756942.5572324,7,1023,20,132,0.5420,23.84557568,239590,202493
1598757377.2520473,7,1023,50,132,0.6610,20.59575296,341046,174896
1598757831.5813642,7,1023,5,165,0.3474,27.72729856,125350,235456
1598758048.5331147,7,1023,10,165,0.4479,25.90990848,178529,220023
1598758353.470194,7,1023,20,165,0.5411,23.864064,238965,202650
1598758787.3647757,7,1023,50,165,0.6614,20.58880512,341583,174837
1598759244.6164517,7,1023,5,198,0.3483,27.71269632,125757,235332
1598759456.2998154,7,1023,10,198,0.4505,25.87057664,180137,219689
1598759747.3259137,7,1023,20,198,0.5416,23.85193472,239337,202547
1598760185.5020556,7,1023,50,198,0.6610,20.59610624,340957,174899
1598760625.205473,7,1023,5,231,0.3483,27.71293184,125796,235334
1598760852.8386579,7,1023,10,231,0.4493,25.90048768,179455,219943
1598761153.8042586,7,1023,20,231,0.5424,23.83062016,239858,202366
1598761573.83201,7,1023,50,231,0.6608,20.59940352,340716,174927
1598762046.7391715,7,1023,5,264,0.3467,27.73636608,124972,235533
1598762252.263563,7,1023,10,264,0.4484,25.90390272,178833,219972
1598762533.9141576,7,1023,20,264,0.5427,23.8157824,239967,202240
1598762968.3362966,7,1023,50,264,0.6612,20.58374144,341185,174794
1598763419.7066722,7,1023,5,297,0.3485,27.70857472,125876,235297
1598763630.3805556,7,1023,10,297,0.4493,25.88294144,179354,219794
1598763940.6109767,7,1023,20,297,0.5409,23.86371072,238783,202647
1598764374.5125632,7,1023,50,297,0.6608,20.59846144,340704,174919
1598764820.4159832,7,1023,5,330,0.3464,27.74460928,124865,235603
1598765027.0719163,7,1023,10,330,0.4511,25.84678912,180413,219487
1598765338.416194,7,1023,20,330,0.5407,23.88561408,238795,202833
1598765770.3429952,7,1023,50,330,0.6614,20.58126848,341464,174773
1598766226.3973148,15,1023,5,33,0.2642,28.76099584,87694,244234
1598766420.608776,15,1023,10,33,0.3750,27.2078592,138608,231045
1598766715.2378728,15,1023,20,33,0.4739,25.37916416,194104,215516
1598767139.4642835,15,1023,50,33,0.5999,22.38276096,284965,190071
1598767577.39114,15,1023,5,66,0.2639,28.7505152,87544,244145
1598767770.7055602,15,1023,10,66,0.3745,27.2119808,138363,231080
1598768084.84687,15,1023,20,66,0.4749,25.36008704,194745,215354
1598768517.7779922,15,1023,50,66,0.5998,22.3796992,284832,190045
1598768951.6251047,15,1023,5,99,0.2659,28.73555968,88374,244018
1598769152.9136734,15,1023,10,99,0.3745,27.22752512,138449,231212
1598769468.3682275,15,1023,20,99,0.4740,25.38057728,194192,215528
1598769887.0315626,15,1023,50,99,0.6010,22.3549696,285884,189835
1598770332.7036636,15,1023,5,132,0.2639,28.75604992,87567,244192
