TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS
1598519349.8557103,15,1023,1,33,0.0000,29.03655424,0,246574
1598519488.0693853,15,1023,2,33,0.1106,29.6708096,31346,251960
1598519582.4684546,15,1023,3,33,0.1760,29.53986048,53580,250848
1598519845.6480286,15,1023,4,33,0.2254,29.15549184,72062,247584
1598519948.9813087,15,1023,6,33,0.2945,28.39994368,100692,241168
1598519955.7601957,15,1023,5,33,0.2630,28.79361536,87276,244511
1598519992.4037764,15,1023,7,33,0.3181,28.09270784,111285,238559
1598520098.4557328,15,1023,8,33,0.3420,27.72223488,122356,235413
1598520124.6888773,15,1023,9,33,0.3591,27.47352576,130703,233301
1598520130.8963146,15,1023,10,33,0.3744,27.2384768,138416,231305
1598520489.5349085,15,1023,1,66,0.0000,29.03125504,0,246529
1598520768.5787957,15,1023,2,66,0.1097,29.68682496,31052,252096
1598520925.6704001,15,1023,4,66,0.2256,29.14771968,72101,247518
1598520936.5644171,15,1023,3,66,0.1763,29.53149952,53663,250777
1598521044.367895,15,1023,5,66,0.2644,28.74545152,87732,244102
1598521207.4949732,15,1023,6,66,0.2940,28.41289728,100483,241278
1598521267.5363567,15,1023,7,66,0.3199,28.05949952,112096,238277
1598521268.1397686,15,1023,8,66,0.3416,27.74437376,122244,235601
1598521288.8187523,15,1023,9,66,0.3594,27.47964928,130903,233353
1598521319.6792815,15,1023,10,66,0.3766,27.18336512,139439,230837
1598521737.6648438,15,1023,1,99,0.0000,29.0407936,0,246610
1598521885.7154603,15,1023,2,99,0.1103,29.6731648,31236,251980
1598522013.5595315,15,1023,3,99,0.1769,29.52490496,53893,250721
1598522251.099499,15,1023,4,99,0.2273,29.13523712,72770,247412
1598522297.228433,15,1023,5,99,0.2641,28.76888576,87664,244301
1598522314.4349308,15,1023,6,99,0.2958,28.37238784,101206,240934
1598522373.0038698,15,1023,7,99,0.3193,28.06491648,111777,238323
1598522461.1434596,15,1023,8,99,0.3412,27.74084096,121997,235571
1598522472.151047,15,1023,9,99,0.3597,27.4622208,130996,233205
1598522482.6441755,15,1023,10,99,0.3754,27.2096256,138856,231060
1598522877.5539072,15,1023,1,132,0.0000,29.04326656,0,246631
1598523116.8540337,15,1023,2,132,0.1113,29.65514752,31524,251827
1598523210.3927705,15,1023,3,132,0.1761,29.531264,53590,250775
