N_OF_STATIONS,CW_MIN,CW_MAX,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS,THR_STD
1,15.0,1023.0,0.5,0.0,29.598976,0.0,2513.5,1472.0,7.0,0.10824956291828768
2,15.0,1023.0,0.5,0.10985,30.246656,317.0,2568.5,1472.0,7.0,0.05828822618676623
3,15.0,1023.0,0.5,0.17470000000000002,30.123008,541.5,2558.0,1472.0,7.0,0.14988401019454928
4,15.0,1023.0,0.5,0.22635,29.716735999999997,738.5,2523.5,1472.0,7.0,0.1915184574708134
5,15.0,1023.0,0.5,0.2607,29.44,881.5,2500.0,1472.0,7.0,0.0
6,15.0,1023.0,0.5,0.29805000000000004,28.756991999999997,1037.0,2442.0,1472.0,7.0,0.11657645237354
7,15.0,1023.0,0.5,0.32015,28.621567999999996,1145.0,2430.5,1472.0,7.0,0.2914411309338437
8,15.0,1023.0,0.5,0.34475,28.221184,1261.0,2396.5,1472.0,7.0,0.10824956291828768
9,15.0,1023.0,0.5,0.36014999999999997,28.003328,1339.0,2378.0,1472.0,7.0,0.3164217992996007
10,15.0,1023.0,0.5,0.37545,27.767808,1417.5,2358.0,1472.0,7.0,0.18319156801556358
