TIMESTAMP,CW_MIN,CW_MAX,N_OF_STATIONS,SEED,P_COLL,THR,FAILED_TRANSMISSIONS,SUCCEEDED_TRANSMISSIONS,PAYLOAD,MCS
2020-12-13 03:22:18.750498,15,1023,1,0,0.0000,29.522432,0,2507,1472,7
2020-12-13 03:22:21.374087,15,1023,2,0,0.1094,30.287872,316,2572,1472,7
2020-12-13 03:22:22.674532,15,1023,3,0,0.1796,30.017024,558,2549,1472,7
2020-12-13 03:22:23.825471,15,1023,4,0,0.2346,29.581312,770,2512,1472,7
2020-12-13 03:22:25.157363,15,1023,5,0,0.2597,29.44,877,2500,1472,7
2020-12-13 03:22:25.456911,15,1023,6,0,0.2918,28.839424,1009,2449,1472,7
2020-12-13 03:22:25.958617,15,1023,7,0,0.3100,28.827648,1100,2448,1472,7
2020-12-13 03:22:26.670530,15,1023,8,0,0.3466,28.14464,1268,2390,1472,7
2020-12-13 03:22:26.950261,15,1023,9,0,0.3699,27.779584,1385,2359,1472,7
2020-12-13 03:22:27.070225,15,1023,10,0,0.3806,27.638272,1442,2347,1472,7
2020-12-13 03:22:31.460348,15,1023,1,1,0.0000,29.67552,0,2520,1472,7
2020-12-13 03:22:32.908516,15,1023,2,1,0.1103,30.20544,318,2565,1472,7
2020-12-13 03:22:35.014146,15,1023,3,1,0.1698,30.228992,525,2567,1472,7
2020-12-13 03:22:35.155296,15,1023,4,1,0.2181,29.85216,707,2535,1472,7
2020-12-13 03:22:36.069359,15,1023,5,1,0.2617,29.44,886,2500,1472,7
2020-12-13 03:22:37.200683,15,1023,6,1,0.3043,28.67456,1065,2435,1472,7
2020-12-13 03:22:37.755137,15,1023,7,1,0.3303,28.415488,1190,2413,1472,7
2020-12-13 03:22:38.655041,15,1023,8,1,0.3429,28.297728,1254,2403,1472,7
2020-12-13 03:22:38.786846,15,1023,9,1,0.3504,28.227072,1293,2397,1472,7
2020-12-13 03:22:38.976709,15,1023,10,1,0.3703,27.897344,1393,2369,1472,7
